chr	start	stop	DmelID	chr.1	start.1	stop.1	CAD_CRMs	Meso	VM	SM	Dmel_Twi_TP1	Dmel_Twi_TP2	Dmel_Twi_TP3	Dmel_Tin_TP2	Dmel_Tin_TP3	Dmel_Mef2_TP1	Dmel_Mef2_TP2	Dmel_Mef2_TP3	Dmel_Mef2_TP4	Dmel_Mef2_TP5	Dmel_Bap_TP3	Dmel_Bin_TP3	Dmel_Bin_TP4	Dmel_Bin_TP5
3R	26677584	26677784	MesoCRM-3425	chr3R	26676777	26678501	tll_P3	1	0	0	0.733672953	0.572856678	0.470423849	0.579932356	0.281493057	0.605837555	0.482827553	0.270898407	0.257591743	0.192475761	0.523591597	0.369497642	0.41631437	0.341780144
2R	5988921	5989130	MesoCRM-343	chr2R	5987719	5989610	14-3-3zeta_upstream	0	0	1	0.352490916	0.292044581	0.27549684	0.408183158	0.460132881	0.672148133	0.477849949	0.500517057	0.60609822	0.653251068	0.595977532	0.573053229	0.653516743	0.514612149
3R	27429492	27429903	MesoCRM-3459	chr3R	27429422	27429956	VT50545.3	1	0	0	0.360688379	0.49235721	0.550993679	0.591084901	0.814705866	0.446089344	0.545047598	0.441177406	0.572762818	0.466607906	0.861392627	1	1	1
3R	27538853	27539053	MesoCRM-3474	chr3R	27538572	27539618	ttk_SVM2	0	0	1	0.334046624	0.320125791	0.366462777	0.294427196	0.438479569	0.524456391	0.373320273	0.464397269	0.60609822	0.522989694	0.711795028	0.628367247	0.551858583	0.728224739
3L	726359	726804	MesoCRM-3589	chr3L	725929	726951	Unspecified_BN5-rt	1	0	0	0.891474119	1	1	0.983654496	0.955452395	0.883136337	0.846192618	0.683695979	0.506092013	0.464663706	0.692492112	0.741207845	0.51797253	0.304883424
3L	2089716	2089916	MesoCRM-3691	chr3L	2089507	2089854	Ket-1	0	0	1	0.25822009	0.361311565	0.249506572	0.252047524	0.405999601	0.313468188	0.338477047	0.513416981	0.754592283	0.861280426	0.641821957	0.307545941	0.464723017	0.557334667
3L	2114803	2115052	MesoCRM-3694	chr3L	2114682	2114995	Ket-2	0	0	1	0.29715804	0.482996807	0.499013143	0.535322175	0.565692778	0.569668149	0.634644464	0.75335557	0.60609822	0.674637264	0.636996228	0.537652257	0.401791776	0.479657362
2R	6203271	6203766	MesoCRM-370	chr2R	6203142	6203782	Ndg	0	0	1	0.614809737	0.713262727	0.654954751	0.787369698	0.784932562	0.545555211	0.582379625	0.428277481	0.472756611	0.491882501	0.969971529	0.730145041	0.745493174	0.823379439
2R	6334233	6334433	MesoCRM-380	chr2R	6333267	6335361	VT14608.1	0	1	0	0.327898526	0.26021921	0.244308518	0.281044142	0.341039665	0.5787105	0.179193731	0.268318422	0.251530761	0.39856092	0.581500345	0.610666762	0.643835014	0.844740698
2R	6334455	6334655	MesoCRM-381	chr2R	6333267	6335361	VT14608.1	0	1	0	0.153702434	0.200312629	0.179332848	0.354650941	0.484492857	0.479244633	0.201592947	0.234778619	0.354567458	0.392728321	0.685253518	0.823072592	0.902821279	0.94960506
3L	4017248	4017576	MesoCRM-3848	chr3L	4017148	4018548	fd64a_eVME	0	1	0	0.448811108	0.486740968	0.626365456	0.430488249	0.433066241	0.596795204	0.60229004	0.616616374	0.542457907	0.54632009	0.480160036	0.84741076	0.818106145	0.739876335
3L	4017746	4017946	MesoCRM-3849	chr3L	4017148	4018548	fd64a_eVME	0	1	0	0.385280769	0.52043842	0.480819956	0.40372214	0.630652714	0.629950493	0.400697093	0.428277481	0.209103886	0.44522171	0.615280448	0.495613604	0.638994149	0.396154258
3L	4018192	4018575	MesoCRM-3850	chr3L	4017148	4018548	fd64a_eVME	0	1	0	0.633254029	0.679565275	0.615969349	0.477328939	0.571106106	0.687218719	0.691886905	0.552116753	0.678830006	0.649362669	0.661124873	0.688106387	0.653516743	0.73599247
3L	5810259	5810466	MesoCRM-3916	chr3L	5809978	5810572	vn_1	0	1	0	0.430366816	0.496101371	0.499013143	0.709301881	0.836359178	0.545555211	0.502737967	0.363777861	0.381841878	0.384951522	0.752813724	0.679256144	0.56880161	0.42722518
3L	5966810	5967010	MesoCRM-3944	chr3L	5966814	5967441	VT26319.2	1	0	0	0.514390813	0.49235721	0.395052072	0.347959413	0.476372865	0.379778766	0.343454651	0.281218346	0.284866163	0.313016137	0.554958835	0.564202986	0.646255446	0.718515076
3L	5967081	5967281	MesoCRM-3945	chr3L	5966814	5967441	VT26319.2	1	0	0	0.356589648	0.436194791	0.324878348	0.314501778	0.571106106	0.421976407	0.408163498	0.325078088	0.35759795	0.452998509	0.663537738	0.708019434	0.733391012	0.741818268
3L	6975214	6975414	MesoCRM-4006	chr3L	6974997	6975562	VT26832.1	0	1	0	0.563575592	0.642123662	0.548394652	0.466176394	0.324799681	0.55761168	0.475361147	0.291538286	0.396994334	0.237192352	0.769703776	0.427024221	0.409053073	0.39032846
2R	6469228	6469619	MesoCRM-404	chr2R	6469177	6469669	Unspecified_404	1	0	0	0.809499487	0.630891178	0.491216063	0.448332321	0.362692977	0.726402243	0.375809075	0.278638361	0.309110092	0.367453726	0.489811494	0.517739211	0.399371343	0.429167113
3L	7831087	7831339	MesoCRM-4041	chr3L	7829025	7840117	Pdp1_2nd_intron_enhancer	0	0	1	0.237726432	0.20218471	0.293690027	0.245355997	0.249013089	0.449103461	0.114484884	0.288958301	0.521244469	0.727130653	0.632170499	0.396048371	0.488927341	0.365083336
3L	8664220	8664420	MesoCRM-4093	chr3L	8664024	8664900	h_stripe1	1	0	0	0.66194515	0.37628821	0.228714357	0.305579741	0.335626337	0.611865789	0.231458569	0.221878695	0.369719914	0.243024951	0.234047857	0.358434838	0.346121831	0.45635417
3L	8668651	8668851	MesoCRM-4095	chr3L	8668724	8669627	VT27684.1	0	0	1	0.582019884	0.454915597	0.353467643	0.432718758	0.373519633	0.690232836	0.482827553	0.51857695	0.487909067	0.598813479	0.567023158	0.513314089	0.409053073	0.477715429
3L	8740118	8740334	MesoCRM-4099	chr3L	8739121	8740688	Prm_-1.7/-0.76_NR	0	0	1	0.514390813	0.273323774	0.434037474	0.115986471	0.392466281	0.506371688	0.24639138	0.29411827	0.463665138	0.863224626	0.5573717	0.298695699	0.324337939	0.572870128
3L	8822950	8823225	MesoCRM-4104	chr3L	8822450	8823872	VT27767.1	1	0	0	0.668093248	0.213417194	0.431438447	0.530861156	0.552159458	0.554597563	0.343454651	0.273478392	0.324262547	0.262466947	0.738336537	0.714657116	0.614789825	0.576753994
3L	8996446	8997109	MesoCRM-4113	chr3L	8996497	8997275	Doc3_7731	1	0	0	0.58406925	0.713262727	0.384655965	0.916739224	0.811999202	0.681190485	0.674465293	0.366357846	0.321232056	0.406337718	0.760052318	0.345159474	0.413893937	0.347605942
3L	9010358	9010558	MesoCRM-4121	chr3L	9009905	9010650	Doc2_7739	1	0	0	0.284861845	0.372544049	0.07277275	0.658000173	0.416826257	0.497329336	0.535092391	0.159959059	0.263652726	0.270243745	0.523591597	0.407111174	0.290451886	0.357315605
3L	9023864	9024064	MesoCRM-4126	chr3L	9023859	9024486	Doc1_7750	1	0	0	0.338145355	0.256475049	0.27549684	0.564318792	0.633359378	0.530484625	0.333499444	0.242518574	0.257591743	0.266355346	0.325736708	0.238956559	0.447779991	0.28740603
3L	9032081	9032393	MesoCRM-4128	chr3L	9032000	9032591	Doc1_7753	1	0	0	0.663994516	0.760064743	0.4366365	0.954657878	0.590052754	0.476230516	0.577402022	0.29411827	0.230317323	0.305239338	0.504288681	0.307545941	0.363064857	0.225264186
3L	10323825	10324090	MesoCRM-4207	chr3L	10323279	10324081	VT28544.1	1	0	0	0.930412069	0.561624194	0.63936059	0.359111959	0.370812969	0.593781086	0.398208291	0.327658073	0.342445494	0.400505119	0.598390396	0.413748857	0.404212208	0.211670658
3L	12642296	12642496	MesoCRM-4389	chr3L	12642140	12642814	CG32111_8084	1	0	0	0.497995887	0.563496275	0.384655965	0.550935738	0.276079729	0.596795204	0.619711653	0.208978771	0.296988128	0.318848736	0.373993998	0.33409667	0.527654259	0.339838212
3L	12707787	12708206	MesoCRM-4398	chr3L	12707523	12708170	VT29813.2	0	1	0	0.395527598	0.456787678	0.696539179	0.461715376	0.955452395	0.464174047	0.318566633	0.485037148	0.675799515	0.552152689	0.866218356	0.688106387	0.881037387	0.776773055
2R	7086917	7087411	MesoCRM-447	chr2R	7086912	7087688	VT14981.1	0	0	1	0.948856361	0.902342872	0.904461322	0.947966351	0.904025779	0.717359891	0.771528564	0.552116753	0.539427415	0.449110109	0.815548201	0.871748928	0.672880202	0.737934402
3L	14166497	14166697	MesoCRM-4482	chr3L	14166220	14166968	D_D/fsh_O-E	1	0	0	0.66194515	0.449299355	0.444433581	0.303349232	0.295026377	0.660091665	0.223992164	0.206398786	0.230317323	0.208029358	0.494637223	0.354009717	0.530074692	0.281580233
3L	15741341	15741794	MesoCRM-4634	chr3L	15741324	15741522	VT31399.1	0	1	0	0.522588277	0.421218146	0.644558643	0.71153239	1	0.678176368	0.540069995	0.51857695	0.545488398	0.412170317	0.899998459	1	0.851992199	0.570928196
3L	16005513	16005776	MesoCRM-4656	chr3L	16005515	16005906	mib1_8458	1	0	0	0.653747687	0.731983533	0.374259857	0.744990026	0.516972825	0.506371688	0.634644464	0.29927824	0.312140583	0.367453726	0.480160036	0.325246427	0.440518694	0.159238476
3L	16036506	16037131	MesoCRM-4664	chr3L	16036609	16037613	th_8479	1	0	0	0.600464177	0.63650742	0.569186867	0.798522244	0.849892498	0.786684586	0.726730131	0.67337604	0.55154938	0.4938267	0.84691544	0.623942126	0.450200423	0.394212326
3L	16037293	16037530	MesoCRM-4665	chr3L	16036609	16037613	th_8479	1	0	0	0.612760371	0.758192662	0.543196599	0.684766282	0.784932562	0.759557532	0.666998887	0.420537527	0.333354021	0.383007323	0.569436022	0.39383581	0.445359558	0.468005766
2R	7413166	7413679	MesoCRM-470	chr2R	7413144	7413863	en_intron	1	0	0	0.604562908	0.582217081	0.537998545	0.680305264	0.820119194	0.705303422	0.587357229	0.415377557	0.481848085	0.34606753	1	0.469062875	0.382428316	0.363141403
3L	16760235	16760585	MesoCRM-4725	chr3L	16760188	16760632	Unspecified_4725	0	0	1	0.329947892	0.541031307	0.714732367	0.564318792	0.809292538	0.979588087	0.918367871	0.964914326	1	0.931271612	0.914475646	0.858473563	0.675300635	0.710747346
3L	16760918	16761420	MesoCRM-4726	chr3L	16760918	16761420	Nrt_8563	0	1	0	0.469304766	0.670204872	0.556191733	1	1	0.747501063	0.868591835	0.688855949	0.71822639	0.74462845	0.907237052	1	1	0.94960506
3L	19185122	19185537	MesoCRM-4906	chr3L	19185122	19185537	SVM-CRM_#4906	0	1	0	0.25822009	0.241498403	0.324878348	0.426027231	0.73621261	0.563639914	0.363365065	0.288958301	0.321232056	0.406337718	0.769703776	0.949188553	1	0.790366584
3L	20692808	20693008	MesoCRM-4994	chr3L	20692223	20693787	kni	1	0	0	0.799252658	0.374416129	0.34826959	0.303349232	0.316679689	0.494315219	0.189148938	0.136739196	0.203042904	0.186643162	0.419838423	0.329671549	0.462302585	0.198077129
3L	21104762	21104962	MesoCRM-5021	chr3L	21094324	21109466	ko_15N/Sp-lacZ	0	0	1	0.303306137	0.2901725	0.249506572	0.272122105	0.346452993	0.316482305	0.209059353	0.157379074	0.387902861	0.653251068	0.388471185	0.265507288	0.382428316	0.267986704
3L	21446414	21446724	MesoCRM-5040	chr3L	21446487	21446916	Syx7_8977	1	0	0	0.573822421	0.702030243	0.626365456	0.85428497	0.606292738	1	1	0.861714932	0.71822639	0.569650485	0.574261751	0.311971063	0.35580356	0.246625445
3L	21464989	21465189	MesoCRM-5047	chr3L	21461025	21467623	croc_7kb3prime	1	0	0	0.6230072	0.569112517	0.42883942	0.321193305	0.311266361	0.669134016	0.408163498	0.270898407	0.242439288	0.293574141	0.132707548	0.311971063	0.271088427	0.271870569
3L	21474988	21475188	MesoCRM-5050	chr3L	21473988	21478119	croc_4kb	1	0	0	0.60866164	0.396881097	0.194927009	0.272122105	0.446599561	0.542541094	0.206570551	0.201238817	0.184859957	0.322737135	0.4825729	0.360647399	0.430836964	0.25050931
3L	21477008	21477208	MesoCRM-5051	chr3L	21473988	21478119	croc_4kb	1	0	0	0.446761742	0.428706468	0.374259857	0.472867921	0.592759418	0.620908141	0.316077831	0.657896131	0.35759795	0.383007323	0.576674616	0.391623249	0.363064857	0.349547875
3L	22396083	22396482	MesoCRM-5101	chr3L	22395911	22396498	Ten-m_9046	1	0	0	0.985744945	0.763808904	0.454829688	0.809674789	0.576519434	0.80476929	0.627178058	0.36893783	0.348506476	0.281908943	0.513940139	0.378347885	0.41631437	0.260218974
2L	290494	290694	MesoCRM-5166	chr2L	290396	290736	VT0132.1	0	1	0	0.463156669	0.353823242	0.415844286	0.16728818	0.324799681	0.5787105	0.263812993	0.234778619	0.342445494	0.421891315	0.453618526	0.60624164	0.663198473	0.668024828
2L	1162261	1162810	MesoCRM-5220	chr2L	1162076	1163021	CG5080	0	0	1	0.471354132	0.357567404	0.615969349	0.18959327	0.452012889	0.605837555	0.4106523	0.534056859	0.869750945	0.725186454	0.760052318	0.51552665	0.776958795	0.745702133
2L	1410886	1411435	MesoCRM-5233	chr2L	1410753	1411417	lea_robo2_5054	0	0	1	0.88122729	0.842436291	0.589979081	0.87882057	0.665839346	0.856009282	0.833748609	0.459237299	0.318201565	0.311071937	0.694904976	0.285420334	0.295292751	0.339838212
2L	2445687	2446127	MesoCRM-5312	chr2L	2445770	2446035	dpp_265lacZ	0	1	0	0.424218719	0.338846597	0.587380054	0.724915445	0.958159059	0.626936375	0.470383544	0.51857695	0.493970049	0.355788528	0.955494342	1	1	0.992327578
2L	3301955	3302317	MesoCRM-5367	chr2L	3301655	3303097	CG9663_intronicCRM	0	1	0	0.356589648	0.576600839	0.553592706	0.430488249	0.581932762	0.696261071	0.540069995	0.663056101	0.709134917	0.688246661	0.687666383	0.781033938	0.66077804	0.625302309
2L	3609083	3609283	MesoCRM-5382	chr2L	3608835	3610207	odd_CE8010	1	0	0	0.909918411	0.737599775	0.444433581	0.528630647	0.270666401	0.509385805	0.331010642	0.123839272	0.233347815	0.272187945	0.533243055	0.391623249	0.244463671	0.324302751
2L	3610866	3611066	MesoCRM-5383	chr2L	3610419	3611803	odd_-5_construct	1	0	0	0.577921153	0.323869952	0.272897813	0.323423814	0.322093017	0.774628118	0.30114502	0.250258528	0.260622234	0.221638755	0.381232591	0.420386539	0.438098261	0.405863921
2L	3818599	3819048	MesoCRM-5399	chr2L	3818652	3820687	slp1_u6550	0	1	0	0.694735003	0.917319517	0.93045159	0.965810423	0.944625739	0.92231986	0.940767087	0.606296435	0.327293039	0.386895722	0.77211664	0.504463846	0.471984315	0.231089984
2L	3819754	3819954	MesoCRM-5400	chr2L	3818652	3820687	slp1_u6550	0	1	0	0.3115036	0.54851963	0.395052072	0.370264504	0.351866321	0.651049313	0.350921056	0.183178923	0.281835672	0.39856092	0.456031391	0.349584595	0.556699448	0.380618797
2L	3820185	3820385	MesoCRM-5401	chr2L	3818652	3820687	slp1_u6550	0	1	0	0.321750429	0.277067936	0.194927009	0.272122105	0.319386353	0.590766969	0.380786678	0.22961865	0.230317323	0.349955929	0.446379933	0.380560446	0.418734802	0.42722518
2L	3821689	3822287	MesoCRM-5402	chr2L	3821716	3823158	slp1_5-3	1	0	0	0.754166611	0.788145952	0.576983947	0.700379845	0.544039466	0.642006961	0.497760364	0.242518574	0.366689423	0.536599092	0.651473415	0.340734352	0.442939126	0.320418885
2L	3822324	3822592	MesoCRM-5403	chr2L	3821716	3823158	slp1_5-3	1	0	0	0.754166611	0.468020162	0.478220929	0.455023848	0.554866122	0.620908141	0.425585111	0.268318422	0.239408797	0.24691335	0.571848887	0.325246427	0.501029503	0.421399382
2L	3822716	3822948	MesoCRM-5404	chr2L	3821716	3823158	slp1_5-3	1	0	0	0.6230072	0.595321646	0.353467643	0.508556066	0.557572786	0.638992844	0.388253084	0.247678543	0.05454884	0.423835514	0.31608525	0.360647399	0.442939126	0.421399382
2L	3823791	3824149	MesoCRM-5405	chr2L	3823143	3824696	slp1_5-2	1	0	0	0.495946521	0.75257642	0.706935286	0.90335617	0.741625938	0.569668149	0.642110869	0.296698255	0.318201565	0.20025256	0.588738938	0.367285081	0.537335989	0.34566401
2L	3825285	3825596	MesoCRM-5406	chr2L	3823356	3825800	slp1_u1609	1	0	0	0.524637642	0.657100307	0.582182001	0.698149336	0.690199322	0.816825758	0.644599671	0.580496586	0.557610362	0.419947115	0.571848887	0.783246498	0.479245612	0.351489807
2L	3829342	3829542	MesoCRM-5409	chr2L	3828818	3829610	slp1_slp_B	1	0	0	0.403725061	0.43432271	0.265100732	0.426027231	0.527799482	0.596795204	0.4106523	0.358617891	0.24850027	0.213861957	0.311259521	0.221256073	0.239622806	0.02912899
2L	5239534	5240099	MesoCRM-5479	chr2L	5239538	5240033	tkv_5428	1	0	0	1	1	1	0.898895151	0.833652514	0.80476929	0.751618149	0.485037148	0.49700054	0.550208489	0.656299144	0.772183695	0.747913606	0.730166672
2L	5245229	5245858	MesoCRM-5481	chr2L	5245165	5245902	Unspecified_5481	0	0	1	0.463156669	0.400625258	0.50161217	0.553166247	0.765985914	0.599809321	0.589846031	0.626936313	0.803080141	0.832117432	1	0.860686124	0.897980414	0.906882542
2L	6240875	6241394	MesoCRM-5565	chr2L	6240841	6241432	Unspecified_5565	0	0	1	0.598414811	0.864901259	0.881070081	0.981423987	0.809292538	1	1	0.807535251	0.600037237	0.454942708	0.583913209	0.535439697	0.428416532	0.299057626
2L	6291730	6292010	MesoCRM-5570	chr2L	6291701	6292043	Unspecified_5570	0	1	0	0.395527598	0.329486194	0.408047206	0.463945885	0.806585874	0.551583446	0.2737682	0.44891736	0.512152996	0.538543291	1	1	1	1
2L	6531029	6531421	MesoCRM-5586	chr2L	6530904	6531807	eya_mesoeya (1)	1	0	0	0.588167982	0.863029178	0.808297331	1	1	0.702289305	0.933300682	0.727555721	0.454573665	0.353844329	1	0.973526721	0.71160712	0.458296103
2R	8549624	8549824	MesoCRM-559	chr2R	8549570	8550025	VT15769.1	1	0	0	0.295108674	0.385648613	0.506810224	0.180671234	0.460132881	0.617894024	0.2737682	0.257998483	0.481848085	0.456886908	0.714207892	0.528802015	0.791481389	0.691328019
2L	6787279	6787639	MesoCRM-5604	chr2L	6786655	6790456	nrv1_5_flank	0	0	1	0.381182037	0.286428339	0.465225795	0.21412887	0.362692977	0.65406343	0.174216127	0.356037906	0.612159202	0.750461049	0.538068784	0.351797156	0.527654259	0.376734932
2L	7042129	7042329	MesoCRM-5619	chr2L	7042024	7042479	milt_5633	1	0	0	0.479551595	0.700158162	0.563988813	0.49963403	0.68207933	0.388821117	0.388253084	0.273478392	0.293957637	0.489938301	0.588738938	0.367285081	0.425996099	0.335954346
2L	7042334	7042534	MesoCRM-5620	chr2L	7042024	7042479	milt_5633	1	0	0	0.53078574	0.698286081	0.42104234	0.421566212	0.330213009	0.446089344	0.248880182	0.283798331	0.360628441	0.342179131	0.422251288	0.296483138	0.484086477	0.401980056
2L	7300402	7300602	MesoCRM-5643	chr2L	7300473	7301488	wg_XB	0	1	0	0.383231403	0.391264855	0.270298786	0.702610354	0.646892698	0.696261071	0.709308518	0.412797572	0.612159202	0.567706285	0.53083019	0.431449342	0.396950911	0.403921989
2R	8833913	8834113	MesoCRM-578	chr2R	8833935	8834294	Mdr49	0	1	0	0.696784369	0.4062415	0.335274456	0.249817015	0.313973025	0.530484625	0.291189813	0.208978771	0.172737993	0.237192352	0.463269984	0.305333381	0.382428316	0.266044771
2L	10293781	10293981	MesoCRM-5832	chr2L	10292862	10294473	hand	0	1	0	0.432416182	0.400625258	0.314482241	0.247586506	0.590052754	0.55761168	0.266301795	0.242518574	0.212134377	0.268299546	0.658712009	0.517739211	0.694664094	0.629186175
2L	11455702	11455902	MesoCRM-5898	chr2L	11455734	11456149	salm_salBE421	1	0	0	0.64759959	0.353823242	0.27549684	0.169518689	0.251719753	0.726402243	0.248880182	0.22961865	0.306079601	0.244969151	0.465682849	0.407111174	0.459882153	0.363141403
2L	12679384	12679584	MesoCRM-5960	chr2L	12678897	12680520	pdm2_+1_construct	1	0	0	0.684488174	0.610298291	0.21052117	0.408183158	0.265253073	0.554597563	0.30114502	0.128999241	0.209103886	0.215806156	0.415012694	0.358434838	0.396950911	0.300999559
2L	14267350	14267653	MesoCRM-6028	chr2L	14267276	14267717	Unspecified_6028	0	1	0	0.33609599	0.344462839	0.369061804	0.287735669	0.454719553	0.53651286	0.348432255	0.252838513	0.412146789	0.330513933	0.439141339	0.831922835	1	0.936011532
2L	14435741	14436213	MesoCRM-6048	chr2L	14435740	14436213	Cpr35B_6285	0	0	1	0.866881729	0.821843404	0.790104144	0.827518862	0.849892498	1	0.90343506	0.766255494	0.557610362	0.39661672	0.839676846	0.491188482	0.469563882	0.363141403
2L	15327057	15327389	MesoCRM-6127	chr2L	15326898	15327423	VT7843.3	1	0	0	0.291009942	0.424962307	0.678345992	0.733837481	0.879665803	0.666119899	0.632155662	0.490197117	0.300018619	0.336346532	0.583913209	0.473487996	0.491347774	0.273812502
2L	15478452	15478952	MesoCRM-6136	chr2L	15478143	15479841	sna_A1.6	1	0	0	0.436514913	0.497973452	0.644558643	0.809674789	1	1	1	1	1	0.732963252	0.996513039	0.389410689	0.346121831	0.400038123
2L	15479705	15479905	MesoCRM-6137	chr2L	15478143	15479841	sna_A1.6	1	0	0	0.928362703	0.438066871	0.376858884	0.303349232	0.389759617	0.506371688	0.196615344	0.281218346	0.287896654	0.130261374	0.526004461	0.280995213	0.442939126	0.417515517
2L	15486082	15486282	MesoCRM-6138	chr2L	15485548	15486684	sna_ShadowEnhancer	1	0	0	1	0.552263791	0.410646232	0.381417049	0.235479769	0.777642235	0.425585111	0.227038665	0.306079601	0.173033765	0.535655919	0.36507252	0.217838914	0.254393176
2L	16319918	16320118	MesoCRM-6178	chr2L	16319411	16320423	cact_Lac-Z	1	0	0	0.748018513	0.509205936	0.400250125	0.156135634	0.305853033	0.533498743	0.395719489	0.159959059	0.339415003	0.412170317	0.494637223	0.327458988	0.384848749	0.320418885
2L	16364757	16365096	MesoCRM-6185	chr2L	16364203	16365055	jhamt_cooc102	0	0	1	0.266417553	0.336974516	0.392453045	0.35688145	0.462839545	0.687218719	0.719263725	0.884934796	1	0.867113025	0.716620757	0.427024221	0.35580356	0.320418885
2L	16486111	16486503	MesoCRM-6190	chr2L	16486074	16487275	dac	0	1	0	0.668093248	0.526054662	0.688742099	0.651308646	0.765985914	0.620908141	0.639622067	0.585656556	0.636403131	0.627976473	0.547720242	0.862898685	0.888298684	0.761237594
2L	16521090	16521543	MesoCRM-6193	chr2L	16520616	16521866	VT8444.1	0	1	0	0.502094619	0.34633492	0.654954751	0.517478102	0.649599362	0.705303422	0.423096309	0.575336617	0.648525095	0.557985287	0.810722472	1	1	1
2L	16761708	16761915	MesoCRM-6211	chr2L	16761811	16762301	Mhc_F2-491	0	0	1	0.217232774	0.436194791	0.327477375	0.133830544	0.216533121	0.500343453	0.321055435	0.44375739	0.82732407	0.905997017	0.250937908	0.210193269	0.404212208	0.638895838
2L	16761938	16762138	MesoCRM-6212	chr2L	16761811	16762301	Mhc_F2-491	0	0	1	0.295108674	0.419346065	0.332675429	0.227511924	0.324799681	0.340595242	0.226480965	0.356037906	0.624281166	0.799066039	0.448792797	0.36285996	0.401791776	0.636953905
2L	16766593	16766793	MesoCRM-6213	chr2L	16766430	16768423	Mhc	0	0	1	0.295108674	0.280812097	0.27549684	0.202976325	0.530506146	0.705303422	0.231458569	0.21929871	0.403055316	0.729074853	0.661124873	0.36507252	0.45746172	0.425283248
2L	16767571	16767814	MesoCRM-6214	chr2L	16766430	16768423	Mhc	0	0	1	0.256170724	0.438066871	0.158540634	0.115986471	0.10826656	0.428004641	0.258835389	0.381837755	0.651555586	0.746572649	0.347452488	0.263294727	0.326758372	0.334012414
2L	16768130	16768330	MesoCRM-6215	chr2L	16766430	16768423	Mhc	0	0	1	0.338145355	0.357567404	0.288491973	0.229742433	0.281493057	0.352651711	0.238924975	0.350877937	0.509122504	0.554096888	0.446379933	0.433661903	0.675300635	0.689386087
2L	17254943	17255230	MesoCRM-6229	chr2L	17253270	17255433	VT8823.1	0	1	0	0.295108674	0.275195855	0.291091	0.129369526	0.498026177	0.566654032	0.313589029	0.265738437	0.269713708	0.649362669	0.680427789	0.78767162	1	1
2L	17262294	17262494	MesoCRM-6232	chr2L	17262381	17263322	beat-IIIc_6490	1	0	0	0.518489545	0.49235721	0.387254991	0.463945885	0.495319513	0.816825758	0.46540594	0.29927824	0.266683217	0.268299546	0.224396399	0.535439697	0.455041288	0.384502662
2L	17262515	17263087	MesoCRM-6233	chr2L	17262381	17263322	beat-IIIc_6490	1	0	0	0.485699692	0.604682049	0.543196599	0.968040932	1	0.645021079	0.599801238	0.423117512	0.296988128	0.381063123	0.984448716	0.661555658	0.520392962	0.21361259
2L	18142810	18143241	MesoCRM-6263	chr2L	18142769	18145071	socs36E_SM-VM	0	1	0	0.329947892	0.280812097	0.561389786	0.256508542	0.619826058	0.554597563	0.418118705	0.619196359	0.521244469	0.406337718	0.740749402	0.823072592	0.549438151	0.520437947
2L	18981503	18981715	MesoCRM-6342	chr2L	18981486	18982329	CG10641_intronicCRM	0	1	0	0.284861845	0.331358275	0.335274456	0.171749198	0.303146369	0.307439953	0.428073913	0.466977254	0.460634647	0.351900129	0.472921442	0.78767162	0.718868418	0.868043889
2L	18981764	18982113	MesoCRM-6343	chr2L	18981486	18982329	CG10641_intronicCRM	0	1	0	0.432416182	0.501717613	0.691341126	0.318962796	0.649599362	0.620908141	0.579890824	0.776575433	0.766714248	0.736851651	0.369168269	0.66598078	0.561540313	0.607824916
2L	19219149	19219349	MesoCRM-6370	chr2L	19218219	19219540	drl	1	0	0	0.446761742	0.741343936	0.641959617	0.896664642	0.760572586	0.669134016	0.754106951	0.544376799	0.327293039	0.219694556	0.644234822	0.750058088	0.428416532	0.201960994
2L	19219365	19219565	MesoCRM-6371	chr2L	19218219	19219540	drl	1	0	0	0.586118616	0.776913469	0.803099277	0.827518862	0.719972626	0.620908141	0.62966686	0.508257011	0.203042904	0.29940674	0.57908748	0.885024292	0.607528528	0.227206119
2L	19849723	19849971	MesoCRM-6419	chr2L	19849676	19850010	Unspecified_6419	0	0	1	0.245923895	0.185335984	0.358665697	0.200745815	0.576519434	0.792712821	0.689398104	0.877194841	1	1	0.634583364	0.378347885	0.488927341	0.39032846
2L	20481085	20481498	MesoCRM-6449	chr2L	20480577	20481741	miR-1_miR-1	1	0	0	1	1	0.969436992	0.965810423	0.738919274	0.705303422	0.841215015	0.332818043	0.384872369	0.324681334	0.658712009	0.524376893	0.56880161	0.400038123
2L	21853080	21853669	MesoCRM-6531	chr2L	21852965	21853378	tsh_del-1-4	0	0	1	0.914017142	0.775041388	0.683544045	0.825288352	0.70914597	1	0.923345475	0.755935555	0.866720454	0.74074005	0.632170499	0.369497642	0.554279016	0.370909134
X	2436449	2436649	MesoCRM-6861	chrX	2435591	2436570	VT55849.1	1	0	0	0.45290984	0.514822178	0.527602438	0.265430578	0.173226496	0.590766969	0.303633822	0.121259287	0.315171074	0.466607906	0.50911441	0.387198128	0.561540313	0.636953905
X	2868961	2869481	MesoCRM-6874	chrX	2868928	2869507	Unspecified_6874	0	0	1	0.250022626	0.215289274	0.571785893	0.397030613	0.81741253	0.687218719	0.60229004	0.810115236	0.82732407	0.750461049	0.880695543	1	0.917343873	0.80978591
